"yt";"issued";"title";"value";"color";"type"
"CAV1501";1987;"Réservez vos timbres de collection";"10 ₣ - French franc";"Multicolor";"undefined"
"CAV1502";1990;"XVIè J.O. dhiver";"10 ₣ - French franc";"Multicolor";"undefined"
"CAV1504";1994;"Marianne of Briat";"20 ₣ - French franc";"Multicolor";"undefined"
"CAV1506a";1994;"Marianne de Briat";"20 ₣ - French franc";"Dark pink";"undefined"
"CN19";1892;"Connaissements";"2 2⁄10 ₣ - French franc";"Red";"undefined"
"CNEP1";1980;"Strasbourg Philatelic Show Alsatec CNEP";"22 French centime";"Multicolor";"undefined"
"CNEP2";1981;"Rhonalpex Philatelic Show Lyon";"None º - No Face Value";"Multicolor";"undefined"
"CNEP3";1982;"Paripex 1982 Autumn Philatelic Show";"None º - No Face Value";"Multicolor";"undefined"
"CNEP4";1983;"Nordex 83 Lille Philatelic Show";"None º - No Face Value";"Multicolor";"undefined"
"CNEP5";1984;"Aviaphil 84 Toulouse Philatelic Show";"None º - No Face Value";"Multicolor";"undefined"
"CNEP6";1985;"Massilia 85 Marseille Philatelic Show";"None º - No Face Value";"Multicolor";"undefined"
"CNEP7";1986;"Brittany Bretagne 1986 Rennes Philatelic Show";"None º - No Face Value";"Multicolor";"undefined"
"CNEP8";1987;"Bourgogne 1987 Dijon Philatelic Show. Obelix";"None º - No Face Value";"Multicolor";"undefined"
"CNEP9";1988;"Lorraine 1988 Metz Philatelic Show.";"None º - No Face Value";"Multicolor";"undefined"
"CNEP10";1989;"Lyonnais 1989 Lyon Philatelic Show.";"None º - No Face Value";"Multicolor";"undefined"
"CNEP11";1989;"Lyonnais 1989 Philatelic Show. French Revolution Overprint";"None º - No Face Value";"Multicolor";"undefined"
"CNEP12";1990;"Aquitaine 90 Bordeaux Philatelic Show";"None º - No Face Value";"Multicolor";"undefined"
"CNEP13";1991;"Alsace 1991 Mulhouse Philatelic Show";"None º - No Face Value";"Multicolor";"undefined"
"CNEP14";1992;"Touraine 92 Tours Philatelic Show";"None º - No Face Value";"Multicolor";"undefined"
"CNEP15";1992;"Olympic Year 92 Tours Philatelic Show";"None º - No Face Value";"Multicolor";"undefined"
"CNEP16";1992;"Disney 92 46th Autumn Philatelic Show Paris";"None º - No Face Value";"Multicolor";"undefined"
"CNEP17";1993;"Mickey Mouse. Europhilex 93 Strasbourg Philatelic Show";"None º - No Face Value";"Multicolor";"undefined"
"CNEP18";1994;"Punch and Judy. Lugdunum 94 Lyon Philatelic Show";"None º - No Face Value";"Multicolor";"undefined"
"CNEP19";1994;"Champs-Elysee. 94 Autumn Philatelic Show Paris";"None º - No Face Value";"Multicolor";"undefined"
"CNEP20";1995;"Tolosa 95 Toulouse. Philatelic Show";"None º - No Face Value";"Multicolor";"undefined"
"CNEP21";1995;"Hommage General DeGaulle 49th Autumn Philatelic Show Paris";"None º - No Face Value";"Multicolor";"undefined"
"CNEP22";1996;"Philaflandre 96 Philatelic Show Lille";"None º - No Face Value";"Multicolor";"undefined"
"CNEP23";1996;"1946-1996 50th Autumn Philatelic Show Paris";"None º - No Face Value";"Multicolor";"undefined"
"CNEP26";1998;"World Cup 1998 Philatelic Show Lyon";"None º - No Face Value";"Multicolor";"undefined"
"CNEP27";1998;"World Cup 1998 Philatelic Show Lyon with Overprint";"None º - No Face Value";"Multicolor";"undefined"
"CNEP28";1998;"52nd Autumn Philatelic Show 98 First French Stamp 1849-1999";"None º - No Face Value";"Multicolor";"undefined"
"CNEP29";1999;"Europhilex 99 Strasbourg Philatelic Show. 50th Anniversary";"None º - No Face Value";"Multicolor";"undefined"
"CNEP30";1999;"50th Anniversary First French Stamp. Hologram of 20c Ceres";"None º - No Face Value";"Multicolor";"undefined"
"CP1";1892;"Parcel post, insured value";"10 French centime";"Red";"collis posteaux"
"CP2";1892;"Parcel post, insured value";"10 French centime";"Red";"collis posteaux"
"CP3";1892;"Parcel post, contribution to the station";"25 French centime";"Ochre brown";"collis posteaux"
"CP4";1892;"Parcel post, express delivery";"25 French centime";"Green";"collis posteaux"
"CP6";1916;"Parcel post, insured value";"10 French centime";"Red";"collis posteaux"
"CP7";1917;"Parcel post, contribution to the station";"25 French centime";"Ochre brown";"collis posteaux"
"CP8";1918;"Parcel post, express delivery";"25 French centime";"Green";"collis posteaux"
"CP9";1901;"Réseau détat";"5 French centime";"Grey";"collis posteaux"
"CP10";1901;"Réseau détat";"10 French centime";"Yellow green";"collis posteaux"
"CP11";1901;"Réseau détat";"20 French centime";"Bright red carmine";"collis posteaux"
"CP12";1901;"Réseau détat";"50 French centime";"Blue";"collis posteaux"
"CP13";1901;"Réseau détat";"1 ₣ - French franc";"Dark siena";"collis posteaux"
"CP14";1901;"Réseau détat";"2 ₣ - French franc";"Bright brown red";"collis posteaux"
"CP15";1918;"Postal parcels, Supplement";"0.05 ₣ - French franc";"Grey black";"collis posteaux"
"CP16";1918;"Postal parcels, Supplement";"0.15 ₣ - French franc";"Carmine brown";"collis posteaux"
"CP17";1918;"Postal parcels, Supplement";"0.05 ₣ - French franc";"Grey black";"collis posteaux"
"CP18";1918;"Postal parcels, Supplement";"0.15 ₣ - French franc";"Carmine brown";"collis posteaux"
"CP19";1918;"Postal parcels, Supplement";"0.05 ₣ - French franc";"Grey black";"collis posteaux"
"CP20";1918;"Postal parcels, Supplement";"0.35 ₣ - French franc";"Carmine red";"collis posteaux"
"CP21";1918;"Postal parcels, Supplement";"0.50 ₣ - French franc";"Grey blue";"collis posteaux"
"CP22";1918;"Postal parcels, Supplement";"1 ₣ - French franc";"Orange yellow";"collis posteaux"
"CP23";1918;"Postal parcels, Supplement";"0.05 ₣ - French franc";"Grey black";"collis posteaux"
"CP24";1918;"Postal parcels, Supplement";"0.15 ₣ - French franc";"Carmine brown";"collis posteaux"
"CP25";1918;"Postal parcels, Supplement";"0.35 ₣ - French franc";"Carmine red";"collis posteaux"
"CP26";1918;"Postal parcels, Supplement";"0.50 ₣ - French franc";"Grey blue";"collis posteaux"
"CP27";1918;"Postal parcels, Supplement";"1 ₣ - French franc";"Orange yellow";"collis posteaux"
"CP28";1918;"Postal parcels, Contribution to the station";"30 French centime";"Ochre brown";"collis posteaux"
"CP29";1923;"Postal parcels, Contribution to the station";"60 French centime";"Ochre brown";"collis posteaux"
"CP30";1922;"package declared value";"15 French centime";"Red";"collis posteaux"
"CP31";1918;"Delivery by Express";"30 French centime";"Green";"collis posteaux"
"CP32";1923;"Delivery by Express";"60 French centime";"Green";"collis posteaux"
"CP33";1924;"Postal package of Alsace and Lorraine";"15 French centime";"Red";"collis posteaux"
"CP34";1926;"parcel Delivery";"0.20 ₣ - French franc";"Bright pink red";"collis posteaux"
"CP35";1926;"parcel Delivery";"0.30 ₣ - French franc";"Orange yellow";"collis posteaux"
"CP36";1926;"parcel Delivery";"0.40 ₣ - French franc";"Olive grey";"collis posteaux"
"CP37";1926;"parcel Delivery";"0.45 ₣ - French franc";"Yellow orange";"collis posteaux"
"CP37a";1926;"parcel Delivery";"0.45 French centime";"Yellow orange";"collis posteaux"
"CP38";1926;"parcel Delivery";"0.95 ₣ - French franc";"Orange yellow";"collis posteaux"
"CP39";1926;"parcel Delivery";"1.35 ₣ - French franc";"Grey violet";"collis posteaux"
"CP40";1926;"parcel Delivery";"1.45 ₣ - French franc";"Grey black";"collis posteaux"
"CP41";1926;"parcel Delivery";"1.75 ₣ - French franc";"Bright blue green";"collis posteaux"
"CP42";1926;"parcel Delivery";"1.85 ₣ - French franc";"Orange";"collis posteaux"
"CP43";1926;"parcel Delivery";"1.95 ₣ - French franc";"Carmine brown";"collis posteaux"
"CP44";1926;"parcel Delivery";"2.35 ₣ - French franc";"Green";"collis posteaux"
"CP45";1926;"Parcel Delivery";"2.90 ₣ - French franc";"Carmine red";"collis posteaux"
"CP46";1926;"parcel Delivery";"3.30 ₣ - French franc";"Dark blue";"collis posteaux"
"CP47";1926;"parcel Delivery";"1 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP48";1926;"parcel Delivery";"1 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP49";1926;"Apport à la gare";"1.30 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP50";1926;"parcel Delivery";"1.50 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP51";1926;"parcel Delivery";"1.65 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP52";1926;"parcel Delivery";"1.90 ₣ - French franc";"Dark green";"collis posteaux"
"CP53";1926;"parcel Delivery";"2.10 ₣ - French franc";"Dark green";"collis posteaux"
"CP54";1926;"Colis-Postal, Apport à la gare - Bureau de Paris";"15 French centime";"Ochre brown";"collis posteaux"
"CP54a";1932;"Colis -Postal, Apport à la gare - Bureau de Paris";"15 French centime";"Ochre brown";"collis posteaux"
"CP55";1926;"Overprint. Colis-Postal, Valeur déclarée";"0.50 ₣ - French franc";"Red orange";"collis posteaux"
"CP56";1926;"parcel Post";"50 French centime";"Red orange";"collis posteaux"
"CP57";1926;"Colis-Postal, Valeur déclarée";"50 French centime";"Red orange";"collis posteaux"
"CP58";1926;"Colis-Postal, Valeur déclarée";"0.55 ₣ - French franc";"Red orange";"collis posteaux"
"CP59";1926;"Colis-Postal, Valeur déclarée";"0.55 ₣ - French franc";"Red orange";"collis posteaux"
"CP60";1926;"Colis-Postal, Valeur déclarée";"0.65 ₣ - French franc";"Red orange";"collis posteaux"
"CP61";1926;"Colis-Postal, Valeur déclarée";"0.65 ₣ - French franc";"Red orange";"collis posteaux"
"CP62";1926;"Colis-Postal, Valeur déclarée";"1.50 ₣ - French franc";"Red orange";"collis posteaux"
"CP63";1926;"parcel Post";"2 ₣ - French franc";"Red orange";"collis posteaux"
"CP64";1926;"Colis-Postal, Valeur déclarée";"2.50 ₣ - French franc";"Orange red";"collis posteaux"
"CP65";1926;"Livraison par exprès";"1 ₣ - French franc";"Green";"collis posteaux"
"CP67";1928;"parcel Post";"1.30 ₣ - French franc";"Green";"collis posteaux"
"CP68";1928;"parcel Post";"1.50 ₣ - French franc";"Green";"collis posteaux"
"CP69";1926;"Parcel Delivery";"1.65 ₣ - French franc";"-";"collis posteaux"
"CP70";1926;"parcel Post";"1.90 ₣ - French franc";"Green";"collis posteaux"
"CP71";1928;"parcel Post";"2.10 ₣ - French franc";"Green";"collis posteaux"
"CP72";1928;"parcel Post";"50 French centime";"Lilac brown";"collis posteaux"
"CP73";1926;"Colis postal-Interet à la livraison";"0.50 ₣ - French franc";"Brown lilac";"collis posteaux"
"CP74";1926;"parcel Post";"1.50 ₣ - French franc";"Lilac brown";"collis posteaux"
"CP75";1926;"Intérêts à la livraison";"2 ₣ - French franc";"Brown lilac";"collis posteaux"
"CP76";1928;"parcel Post";"2.50 ₣ - French franc";"Lilac brown";"collis posteaux"
"CP77";1926;"Majoration";"0.10 ₣ - French franc";"Orange";"collis posteaux"
"CP78";1926;"Postal parcels, Supplement";"0.25 ₣ - French franc";"-";"collis posteaux"
"CP79";1926;"Postal parcels, Supplement";"2 ₣ - French franc";"-";"collis posteaux"
"CP80";1926;"Majoration";"3 ₣ - French franc";"Grey";"collis posteaux"
"CP81";1928;"parcel Post";"1 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP82";1928;"Apport à la gare Overprinted A";"1.50 ₣ - French franc";"Brown yellow";"collis posteaux"
"CP83";1928;"parcel Post";"1.65 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP84";1928;"parcel Post";"50 French centime";"Red orange";"collis posteaux"
"CP85";1928;"parcel Post";"1 ₣ - French franc";"Green";"collis posteaux"
"CP86";1928;"Parcel Post";"1.50 ₣ - French franc";"Green";"collis posteaux"
"CP87";1928;"Livraison par exprès";"1.65 ₣ - French franc";"Green";"collis posteaux"
"CP88";1928;"parcel Post";"1.45 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP88A";1928;"parcel Post";"1.45 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP89";1928;"parcel Post";"2.15 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP90";1928;"parcel Post";"2.35 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP91";1928;"parcel Post";"0.75 ₣ - French franc";"Red orange";"collis posteaux"
"CP92";1928;"parcel Post";"1.45 ₣ - French franc";"Green";"collis posteaux"
"CP93";1928;"parcel Post";"2.15 ₣ - French franc";"Green";"collis posteaux"
"CP94";1928;"parcel Post";"2.35 ₣ - French franc";"Green";"collis posteaux"
"CP95";1932;"Colis-Postal, Apport à la gare - Bureau de Paris";"15 French centime";"Ochre brown";"collis posteaux"
"CP96";1933;"Colis-Postal, Apport à la gare";"1.45 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP97";1933;"Colis-Postal, Apport à la gare";"2.35 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP98";1933;"Colis-Postal, Valeur déclarée";"75 French centime";"Orange red";"collis posteaux"
"CP99";1933;"Colis-Postal, Valeur déclarée";"1.45 ₣ - French franc";"Green";"collis posteaux"
"CP100";1933;"Colis-Postal, Encombrant";"2 ₣ - French franc";"Light blue";"collis posteaux"
"CP101";1936;"Colis-Postal, Apport à la gare";"1 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP102";1936;"Colis-Postal, Apport à la gare";"1.50 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP103";1936;"Colis-Postal, Apport à la gare";"1.65 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP104";1936;"Colis-Postal, Valeur déclarée";"50 French centime";"Red orange";"collis posteaux"
"CP105";1936;"Colis-Postal, Livraison par express";"1 ₣ - French franc";"Green";"collis posteaux"
"CP106";1936;"Colis-Postal, Livraison par express";"1.50 ₣ - French franc";"Green";"collis posteaux"
"CP107";1936;"Colis-Postal, Livraison par express";"1.65 ₣ - French franc";"Green";"collis posteaux"
"CP108";1937;"Colis-Postal, Apport à la gare";"1.45 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP109";1937;"Colis-Postal, Apport à la gare";"2.15 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP110";1937;"Colis-Postal, Apport à la gare";"2.15 ₣ - French franc";"Ochre";"collis posteaux"
"CP111";1937;"Colis-Postal, Apport à la gare";"2.35 ₣ - French franc";"Ochre";"collis posteaux"
"CP112";1937;"Colis-Postal, Valeur déclarée";"75 French centime";"Orange red";"collis posteaux"
"CP113";1937;"Colis-Postal, Livraison par expres";"1.45 ₣ - French franc";"Green";"collis posteaux"
"CP114";1937;"Colis-Postal, Livraison par express";"2.15 ₣ - French franc";"Green";"collis posteaux"
"CP115";1937;"Colis-Postal, Livraison par express";"2.15 ₣ - French franc";"Olive";"collis posteaux"
"CP116";1937;"Colis-Postal, Livraison par express";"2.35 ₣ - French franc";"Green";"collis posteaux"
"CP117";1937;"Colis-Postal, Livraison par express";"2.35 ₣ - French franc";"Yellow green";"collis posteaux"
"CP118";1937;"Colis-Postal, Colis encombrant";"2 ₣ - French franc";"Light blue";"collis posteaux"
"CP119";1937;"Colis-Postal, Apport à la gare";"1.85 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP120";1937;"Colis-Postal, Apport à la gare";"2.75 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP121";1937;"Colis-Postal, Apport à la gare";"3.05 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP122";1937;"Colis-Postal, Valeur déclarée";"0.95 ₣ - French franc";"Orange red";"collis posteaux"
"CP123";1937;"Colis-Postal, Livraison par express";"1.85 ₣ - French franc";"Green";"collis posteaux"
"CP124";1937;"Colis-Postal, Livraison par express";"2.75 ₣ - French franc";"Olive";"collis posteaux"
"CP125";1937;"Colis-Postal, Livraison par express";"3.05 ₣ - French franc";"Yellow green";"collis posteaux"
"CP126";1937;"Colis-Postal, Encombrant";"2.60 ₣ - French franc";"Light blue";"collis posteaux"
"CP127";1938;"parcel Post";"1.45 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP128";1938;"parcel Post";"1.85 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP129";1938;"Colis-Postal, Apport à la gare";"2.15 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP130";1938;"Apport à la gare";"2.15 ₣ - French franc";"Brown yellow";"collis posteaux"
"CP131";1938;"Apport à la gare";"2.35 ₣ - French franc";"Brown yellow";"collis posteaux"
"CP132";1938;"Colis-Postal, Apport à la gare";"2.35 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP133";1938;"Colis-Postal, Apport à la gare";"2.75 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP134";1938;"Colis-Postal, Apport à la gare";"3.05 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP135";1938;"parcel Post";"75 French centime";"Orange red";"collis posteaux"
"CP136";1938;"Colis-Postal, Valeur déclarée";"0.95 ₣ - French franc";"Orange red";"collis posteaux"
"CP137";1938;"Colis-Postal, Livraison par express";"1.45 ₣ - French franc";"Green";"collis posteaux"
"CP138";1938;"parcel Post";"1.85 ₣ - French franc";"Green";"collis posteaux"
"CP139";1938;"Colis-Postal, Livraison par express";"2.15 ₣ - French franc";"Olive";"collis posteaux"
"CP140";1938;"Colis-Postal, Livraison par express";"2.15 ₣ - French franc";"Green";"collis posteaux"
"CP141";1938;"Colis-Postal, Livraison par express";"2.35 ₣ - French franc";"Green";"collis posteaux"
"CP142";1938;"Colis-Postal, Livraison par express";"2.35 ₣ - French franc";"Yellow green";"collis posteaux"
"CP143";1938;"Colis-Postal, Livraison par express";"2.75 ₣ - French franc";"Olive";"collis posteaux"
"CP144";1938;"parcel Post";"3.05 ₣ - French franc";"Yellow green";"collis posteaux"
"CP145";1938;"parcel Post";"2 ₣ - French franc";"Light blue";"collis posteaux"
"CP146";1938;"Colis-Postal, Encombrant";"2.60 ₣ - French franc";"Light blue";"collis posteaux"
"CP147";1938;"parcel Post";"2.30 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP148";1938;"parcel Post";"3.45 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP149";1938;"parcel Post";"3.85 ₣ - French franc";"Ochre brown";"collis posteaux"
"CP150";1938;"parcel Post";"1.15 ₣ - French franc";"Orange red";"collis posteaux"
"CP151";1938;"Colis-Postal, Livraison par express";"2.30 ₣ - French franc";"Green";"collis posteaux"
"CP152";1938;"Colis-Postal, Livraison par express";"3.45 ₣ - French franc";"Olive";"collis posteaux"
"CP153";1938;"Colis-Postal, Livraison par express";"3.85 ₣ - French franc";"Yellow green";"collis posteaux"
"CP154";1938;"Colis encombrant  Timbre surchargé en valeur";"3.25 ₣ - French franc";"Light blue";"collis posteaux"
"CP155";1938;"Colis postal  Majoration";"0.10 ₣ - French franc";"Greenish grey";"collis posteaux"
"CP156";1938;"Colis postal  Majoration";"0.10 ₣ - French franc";"Red lilac";"collis posteaux"
"CP157";1938;"Colis postal  Majoration";"0.15 ₣ - French franc";"Dark cobalt";"collis posteaux"
"CP158";1938;"Colis postal  Majoration";"0.20 ₣ - French franc";"Grey lilac";"collis posteaux"
"CP159";1938;"Colis postal  Majoration";"0.20 ₣ - French franc";"Grey lilac";"collis posteaux"
"CP160";1938;"Colis-Postal, Livraison par express";"2.30 ₣ - French franc";"Olive";"collis posteaux"
"CP161";1938;"Colis-Postal, Livraison par express";"2.30 ₣ - French franc";"Yellow green";"collis posteaux"
"CP162";1938;"Colis-Postal, Livraison par express";"2.30 ₣ - French franc";"Olive";"collis posteaux"
"CP163";1938;"Colis-Postal, Livraison par express";"2.30 ₣ - French franc";"Yellow green";"collis posteaux"
"CP164";1939;"Valeur déclarée";"1.15 ₣ - French franc";"Red orange";"collis posteaux"
"CP165";1939;"parcel Post";"2.40 ₣ - French franc";"Siena";"collis posteaux"
"CP166";1939;"parcel Post";"3.50 ₣ - French franc";"Siena";"collis posteaux"
"CP167";1939;"parcel Post";"3.80 ₣ - French franc";"Siena";"collis posteaux"
"CP168";1939;"parcel Post";"1 ₣ - French franc";"Orange red";"collis posteaux"
"CP169";1939;"Colis-Postal, Valeur déclarée";"5 ₣ - French franc";"Grey red";"collis posteaux"
"CP170";1939;"Colis-Postal, Remboursement";"2.50 ₣ - French franc";"Yellow green";"collis posteaux"
"CP171";1939;"Colis-Postal, Remboursement";"7.50 ₣ - French franc";"Yellow green";"collis posteaux"
"CP172";1939;"Colis-Postal, Intérêt à la livraison";"1 ₣ - French franc";"Lilac brown";"collis posteaux"
"CP173";1939;"Colis-Postal, Intérêt à la livraison";"3.20 ₣ - French franc";"Prussian blue";"collis posteaux"
"CP174";1941;"parcel Post";"2.70 ₣ - French franc";"Brown";"collis posteaux"
"CP175";1941;"parcel Post";"3.90 ₣ - French franc";"Dark blue";"collis posteaux"
"CP176";1941;"parcel Post";"4.20 ₣ - French franc";"Dark green";"collis posteaux"
"CP177";1941;"parcel Post";"1 ₣ - French franc";"Siena";"collis posteaux"
"CP178";1941;"parcel Post";"5 ₣ - French franc";"Brown carmine";"collis posteaux"
"CP179";1941;"parcel Post";"2.50 ₣ - French franc";"Ultramarine";"collis posteaux"
"CP180";1941;"parcel Post";"7.50 ₣ - French franc";"Green";"collis posteaux"
"CP181";1941;"parcel Post";"1 ₣ - French franc";"Blue violet";"collis posteaux"
"CP182";1941;"parcel Post";"3.50 ₣ - French franc";"Dark blue";"collis posteaux"
"CP183";1941;"parcel Post";"2.70 ₣ - French franc";"Brown";"collis posteaux"
"CP184";1941;"parcel Post";"3.90 ₣ - French franc";"Dark blue";"collis posteaux"
"CP185";1941;"parcel Post";"4.20 ₣ - French franc";"Dark green";"collis posteaux"
"CP186";1941;"parcel Post";"3.50 ₣ - French franc";"Dark blue";"collis posteaux"
"CP187";1942;"parcel Post";"1 ₣ - French franc";"Dark yellow brown";"collis posteaux"
"CP187B";1942;"Colis-Postal, Valeur déclarée (sans filigrane)";"1 ₣ - French franc";"Yellow brown";"collis posteaux"
"CP188";1942;"parcel Post";"5 ₣ - French franc";"Brown carmine";"collis posteaux"
"CP188B";1942;"Colis-Postal, Valeur déclarée (sans filigrane)";"5 ₣ - French franc";"Carmine";"collis posteaux"
"CP189";1942;"parcel Post";"2.50 ₣ - French franc";"Dark blue";"collis posteaux"
"CP189B";1942;"Colis-Postal, Remboursement (sans filigrane)";"2.50 ₣ - French franc";"Blue";"collis posteaux"
"CP190";1942;"parcel Post";"7.50 ₣ - French franc";"Grey green";"collis posteaux"
"CP190B";1942;"Colis-Postal, Remboursement (sans filigrane)";"7.50 ₣ - French franc";"Dark green yellow";"collis posteaux"
"CP191";1942;"parcel Post";"2.70+3 ₣ - French franc";"Brown";"collis posteaux"
"CP192";1942;"parcel Post";"3.90+3 ₣ - French franc";"Dark blue";"collis posteaux"
"CP193";1942;"parcel Post";"4.20+3 ₣ - French franc";"Dark green";"collis posteaux"
"CP194";1942;"parcel Post";"1+3 ₣ - French franc";"Siena";"collis posteaux"
"CP195";1942;"parcel Post";"5+3 ₣ - French franc";"Bright brown carmine";"collis posteaux"
"CP196";1942;"parcel Post";"2.50+3 ₣ - French franc";"Ultramarine";"collis posteaux"
"CP197";1942;"parcel Post";"7.50+3 ₣ - French franc";"Green";"collis posteaux"
"CP198";1942;"parcel Post";"1+3 ₣ - French franc";"Blue violet";"collis posteaux"
"CP199";1942;"parcel Post";"3.50+3 ₣ - French franc";"Dark blue";"collis posteaux"
"CP200";1943;"parcel Post";"3 ₣ - French franc";"Brown";"collis posteaux"
"CP201";1943;"parcel Post";"4.30 ₣ - French franc";"Dark blue";"collis posteaux"
"CP202";1943;"parcel Post";"4.70 ₣ - French franc";"Dark green";"collis posteaux"
"CP203";1943;"parcel Post";"3.90 ₣ - French franc";"Dark blue";"collis posteaux"
"CP204";1943;"parcel Post";"3 ₣ - French franc";"Brown";"collis posteaux"
"CP205";1943;"parcel Post";"4.30 ₣ - French franc";"Dark blue";"collis posteaux"
"CP206";1943;"parcel Post";"4.70 ₣ - French franc";"Dark green";"collis posteaux"
"CP207";1943;"parcel Post";"3.90 ₣ - French franc";"Dark blue";"collis posteaux"
"CP208";1943;"parcel Post";"3 ₣ - French franc";"Blue | Siena";"collis posteaux"
"CP209";1943;"parcel Post";"4.30 ₣ - French franc";"Blue | Lilac red";"collis posteaux"
"CP210";1943;"parcel Post";"4.70 ₣ - French franc";"Bright red | Grey green";"collis posteaux"
"CP211";1943;"parcel Post";"20 ₣ - French franc";"Vermilion";"collis posteaux"
"CP212";1943;"parcel Post";"3 ₣ - French franc";"Blue | Siena";"collis posteaux"
"CP213";1943;"parcel Post";"4.30 ₣ - French franc";"Blue | Lilac red";"collis posteaux"
"CP214";1943;"parcel Post";"4.70 ₣ - French franc";"Bright red | Grey green";"collis posteaux"
"CP215";1943;"parcel Post";"3.90 ₣ - French franc";"Dark blue | Dark pink";"collis posteaux"
"CP216A";1944;"parcel Post";"1 ₣ - French franc";"Brown lilac";"collis posteaux"
"CP216B";1944;"Colis-Postal, Valeur déclarée (sans filigrane)";"1 ₣ - French franc";"Brown lilac";"collis posteaux"
"CP217A";1944;"parcel Post";"5 ₣ - French franc";"Lilac red";"collis posteaux"
"CP217B";1944;"Colis-Postal, Valeur déclarée (sans filigrane)";"5 ₣ - French franc";"Carmine";"collis posteaux"
"CP218A";1944;"parcel Post";"2.50 ₣ - French franc";"Cobalt";"collis posteaux"
"CP218B";1944;"Colis postaux, Remboursement (sans filigrane)";"2.50 ₣ - French franc";"Blue";"collis posteaux"
"CP219A";1944;"parcel Post";"7.50 ₣ - French franc";"Olive";"collis posteaux"
"CP219B";1944;"Railway";"7.50 ₣ - French franc";"Olive";"collis posteaux"
"CP220A";1944;"parcel Post";"1 ₣ - French franc";"Blue violet";"collis posteaux"
"CP220B";1944;"Colis postaux, Intérêt à la livraison (sans filigrane)";"1 ₣ - French franc";"Violet";"collis posteaux"
"CP221A";1945;"Colis postaux, Livraison à domicile (filigrane A)";"None º - No Face Value";"Brown";"collis posteaux"
"CP221B";1945;"parcel Post";"5 ₣ - French franc";"Black | Orange brown";"collis posteaux"
"CP222A";1945;"Colis postaux, Livraison à domicile (filigrane A)";"None º - No Face Value";"Blue";"collis posteaux"
"CP222B";1945;"parcel Post";"7.20 ₣ - French franc";"Blue | Violet";"collis posteaux"
"CP223A";1945;"parcel Post";"7.80 ₣ - French franc";"Dark green | Violet";"collis posteaux"
"CP223B";1945;"Colis postaux, Livraison à domicile (sans filigrane)";"None º - No Face Value";"Dark green";"collis posteaux"
"CP224";1945;"parcel Post";"6.60 ₣ - French franc";"Dark blue | Violet";"collis posteaux"
"CP226A";1945;"parcel Post";"5 ₣ - French franc";"Blue | Siena";"collis posteaux"
"CP226B";1945;"Colis postaux, Livraison à domicile SANS FILIGRANE";"5 ₣ - French franc";"Brown orange";"collis posteaux"
"CP227A";1945;"parcel Post";"7.20 ₣ - French franc";"Blue | Lilac red";"collis posteaux"
"CP228A";1945;"parcel Post";"7.80 ₣ - French franc";"Bright red | Grey green";"collis posteaux"
"CP228B";1945;"Colis postaux, Livraison à domicile SANS FILIGRANE";"7.80 ₣ - French franc";"Green";"collis posteaux"
"CP229A";1945;"parcel Post";"6.60 ₣ - French franc";"Dark blue | Dark pink";"collis posteaux"
"CP229B";1945;"Colis postaux, Encombrant SANS FILIGRANE";"6.60 ₣ - French franc";"Blue";"collis posteaux"
"CP230A";1945;"parcel Post";"5 ₣ - French franc";"Black | Brown carmine";"collis posteaux"
"CP230B";1945;"PARCEL POST DOMICILE (unwatermarked)";"5 ₣ - French franc";"Brown carmine";"collis posteaux"
"CP231A";1945;"parcel Post";"7.20 ₣ - French franc";"Dark grey ultramarine | Grey violet";"collis posteaux"
"CP231B";1945;"Colis postaux, Livraison à domicile SANS FILIGRANE";"7.20 ₣ - French franc";"Blue violet";"collis posteaux"
"CP232A";1945;"parcel Post";"7.80 ₣ - French franc";"Dark olive green | Violet";"collis posteaux"
